learning_rate,gamma,n_steps,batch_size,clip_range,ent_coef,mean_reward,std_reward,run
0.0003,0.99,1024,64,0.2,0.01,489.96969896210294,98.23730151226003,1
0.0001,0.99,2048,128,0.2,0.0,-141.65155469042335,28.705449688633117,2
0.001,0.95,512,32,0.3,0.05,660.9039878748292,235.61044929650794,3
0.003,0.9,256,64,0.1,0.01,762.6442502868988,144.32520658565215,4
0.0001,0.95,1024,32,0.3,0.0,-14.178957545357687,73.08571463640405,5
0.0003,0.99,512,128,0.1,0.05,175.2735544294923,102.93271108711478,6
0.001,0.99,2048,64,0.2,0.01,480.271536633633,282.05278153153756,7
0.0003,0.9,256,32,0.3,0.0,634.6876293063423,115.56842615385168,8
0.0001,0.99,1024,128,0.2,0.05,-34.89054428856168,35.79868586859904,9
0.003,0.95,512,64,0.1,0.01,730.0874355613832,305.74151182433263,10
