learning_rate,gamma,hidden_size,baseline,mean_reward,std_reward,run
0.001,0.99,128,True,-135.56511081441027,28.631028533550563,1
0.0005,0.99,128,True,-136.655267563794,21.544127971945827,2
0.0001,0.95,256,True,-138.7229762600662,27.777467177422093,3
0.005,0.9,64,False,562.523092194055,134.24547874853351,4
0.001,0.95,256,False,673.0540388234857,101.26084354529073,5
0.0005,0.99,64,True,-6.857294423427518,30.0707322177418,6
0.0001,0.99,128,False,-140.6894582057311,25.168511189047912,7
0.005,0.95,128,True,-140.1422583356409,24.55090387408004,8
0.001,0.9,256,True,660.1511356816555,101.95178471386008,9
0.0005,0.95,64,False,95.0481704640675,59.737956865530656,10
